                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.6636,                0.87967,                0.85469,                0.45862,                 0.3347,                0.33507,                0.14327,                  1.958,                 1.0662,                0.90058,              0.0013375,              0.0013375,              0.0013375
                    107,                 1.6438,                0.86755,                0.85639,                0.46442,                0.33267,                 0.3349,                0.14292,                 1.9576,                 1.0654,                0.89999,               0.001255,               0.001255,               0.001255
                    108,                 1.6533,                0.87386,                0.85453,                 0.4735,                0.33044,                0.33584,                0.14339,                 1.9591,                 1.0684,                0.90039,              0.0011725,              0.0011725,              0.0011725
                    109,                 1.6344,                 0.8626,                0.85333,                0.45916,                 0.3334,                0.33423,                 0.1427,                 1.9596,                 1.0715,                0.90088,                0.00109,                0.00109,                0.00109
                    110,                 1.6425,                0.86593,                0.85456,                 0.4456,                0.33909,                0.33352,                0.14305,                 1.9556,                 1.0669,                0.90066,              0.0010075,              0.0010075,              0.0010075
                    111,                 1.6876,                0.89136,                0.85837,                 0.4403,                0.34073,                0.33364,                0.14314,                 1.9561,                 1.0648,                0.90084,               0.000925,               0.000925,               0.000925
                    112,                 1.6212,                0.85498,                0.85235,                  0.442,                0.34005,                0.33256,                0.14258,                 1.9583,                 1.0693,                0.90123,              0.0008425,              0.0008425,              0.0008425
                    113,                 1.6136,                0.84612,                0.85251,                0.43638,                0.34098,                0.33195,                0.14241,                 1.9594,                 1.0721,                0.90136,                0.00076,                0.00076,                0.00076
                    114,                 1.6052,                0.84536,                0.85184,                0.44758,                0.33496,                0.33265,                0.14241,                 1.9604,                  1.074,                0.90173,              0.0006775,              0.0006775,              0.0006775
                    115,                 1.5918,                0.83978,                0.85247,                0.45101,                0.33705,                0.33319,                0.14248,                 1.9602,                 1.0743,                0.90148,               0.000595,               0.000595,               0.000595
                    116,                 1.5998,                0.83903,                0.84997,                0.44374,                0.34197,                 0.3324,                0.14223,                 1.9619,                 1.0754,                 0.9017,              0.0005125,              0.0005125,              0.0005125
                    117,                 1.5667,                0.82853,                0.84959,                0.44701,                0.34073,                0.33208,                0.14162,                 1.9623,                 1.0754,                0.90183,                0.00043,                0.00043,                0.00043
                    118,                 1.5714,                 0.8254,                0.84933,                0.45008,                0.33683,                 0.3317,                0.14137,                 1.9627,                 1.0764,                0.90177,              0.0003475,              0.0003475,              0.0003475
                    119,                 1.5645,                0.82248,                0.84966,                0.44843,                0.33525,                0.33259,                0.14154,                 1.9621,                 1.0772,                0.90195,               0.000265,               0.000265,               0.000265
